word,lemma,freq
dirt,dirt,209
lifted,lift,209
escape,escape,208
alice,alice,208
shared,share,208
add,add,208
sense,sense,208
flat,flat,207
turning,turn,207
anywhere,anywhere,207
chickens,chicken,207
tasty,tasty,207
adventures,adventure,207
video,video,207
shining,shine,206
faces,face,206
ideas,idea,206
drop,drop,206
office,office,206
smelled,smell,206
gus,gus,206
naughty,naughty,205
paws,paw,205
s,s,205
smells,smell,205
spent,spend,205
silver,silver,205
classroom,classroom,205
crocodile,crocodile,205
shirt,shirt,205
hanging,hang,204
sugar,sugar,204
roof,roof,204
babies,baby,204
famous,famous,204
eaten,eat,203
placed,place,203
clock,clock,203
talked,talk,203
oliver,oliver,202
plate,plate,202
yum,yum,202
corn,corn,202
olivia,olivia,202
calling,call,202
forward,forward,202
robin,robin,202
handed,hand,202
weird,weird,202
sharing,share,202
students,student,201
underwear,underwear,201
runs,run,201
puss,puss,201
cross,cross,201
potato,potato,201
excuse,excuse,201
given,give,200
drove,drive,200
falls,fall,200
caterpillar,caterpillar,200
taught,teach,200
human,human,200
gingerbread,gingerbread,199
mirror,mirror,199
tries,try,199
hugged,hug,199
episode,episode,199
bone,bone,199
boxes,box,198
search,search,198
figure,figure,198
carrot,carrot,198
totally,totally,198
ugly,ugly,197
seeing,see,197
interesting,interesting,197
groundhog,groundhog,196
pole,pole,196
peanut,peanut,196
meanwhile,meanwhile,196
circle,circle,196
trunk,trunk,196
hen,hen,196
gate,gate,196
painted,paint,195
writing,write,195
juice,juice,195
cranky,cranky,195
rescue,rescue,195
shine,shine,195
elephants,elephant,195
bought,buy,195
bedroom,bedroom,194
creepy,creepy,194
horn,horn,194
questions,question,194
oops,oops,194
trap,trap,194
rule,rule,194
berries,berry,194
attention,attention,194
shot,shoot,194
molly,molly,194
local,local,194
cloud,cloud,194
board,board,193
stomach,stomach,193
sunshine,sunshine,193
screamed,scream,193
jar,jar,193
pieces,piece,193
invited,invite,193
cuz,cuz,193
pillow,pillow,192
hero,hero,192
harry,harry,192
indeed,indeed,192
million,million,192
cows,cow,192
bean,bean,192
kip,kip,191
perfectly,perfectly,191
crack,crack,191
rapunzel,rapunzel,191
tricks,trick,191
stage,stage,191
packed,pack,191
chest,chest,190
disappeared,disappear,190
steve,steve,190
daughter,daughter,190
brings,bring,189
spin,spin,189
bugs,bug,189
penny,penny,189
excitement,excitement,189
frogs,frog,189
kinds,kind,189
sniffed,sniff,189
plane,plane,188
principal,principal,188
hats,hat,188
wished,wish,188
taken,take,188
swing,swing,188
mum,mum,188
joined,join,188
kingdom,kingdom,188
doug,doug,187
hood,hood,187
muddy,muddy,187
crow,crow,187
desk,desk,187
eric,eric,187
sadly,sadly,187
shut,shut,187
normal,normal,187
allowed,allow,187
gather,gather,186
bathroom,bathroom,186
songs,song,186
crab,crab,186
d,d,186
works,work,186
confused,confused,186
g,g,186
norman,norman,185
bunch,bunch,185
witcheficent,witcheficent,185
peas,pea,185
jasper,jasper,185
test,test,185
leg,leg,185
float,float,185
shape,shape,185
shows,show,184
skeleton,skeleton,184
beatrice,beatrice,184
bush,bush,184
pack,pack,184
shouts,shout,184
balloons,balloon,184
loudly,loudly,184
thoughts,thought,184
hunt,hunt,183
flap,flap,183
slime,slime,183
hidden,hide,183
beauty,beauty,183
p,p,182
lord,lord,182
thump,thump,181
lit,light,181
science,science,181
percy,percy,181
tough,tough,181
boring,boring,181
ariel,ariel,181
chased,chase,180
sort,sort,180
patient,patient,180
ryder,ryder,180
stops,stop,179
tale,tale,179
dino,dino,179
phone,phone,179
ogre,ogre,179
rode,ride,178
sigh,sigh,178
rolling,roll,178
searched,search,178
lead,lead,178
panda,panda,178
mistake,mistake,177
explore,explore,177
flash,flash,177
view,view,177
lou,lou,177
katie,katie,177
breeze,breeze,177
map,map,177
luna,luna,176
growled,growl,176
drawing,drawing,176
worm,worm,176
fishing,fishing,176
bubbles,bubble,176
ha,ha,176
harold,harold,176
rang,ring,175
shy,shy,175
finding,find,175
tied,tie,175
stretched,stretch,175
doors,door,175
nearly,nearly,175
thick,thick,175
cupcakes,cupcake,174
spend,spend,174
straw,straw,174
hanukkah,hanukkah,174
harder,hard,174
although,although,174
grinned,grin,174
clark,clark,174
whenever,whenever,174
stuffed,stuff,174
usually,usually,174
tucked,tuck,174
palace,palace,174
tie,tie,173
millie,millie,173
donald,donald,173
humans,human,173
windows,window,173
discovered,discover,173
trail,trail,173
stella,stella,173
backpack,backpack,173
sophie,sophie,172
dug,dig,172
houses,house,172
buddy,buddy,172
twinkle,twinkle,171
dirty,dirty,171
ben,ben,171
gentle,gentle,171
jeremy,jeremy,170
